id	published	title	authors	categories
2501.05032	2025-01-09	Enhancing Human-Like Responses in Large Language Models	Ethem Yağız Çalık; Talha Rüzgar Akkuş	cs.CL, cs.AI
2402.14679	2024-02-22	Is Self-knowledge and Action Consistent or Not: Investigating Large Language Model's Personality	Yiming Ai; Zhiwei He; Ziyin Zhang; Wenhong Zhu; Hongkun Hao (+3 more)	cs.CL, cs.CY
2405.11357	2024-05-18	Large Language Models Lack Understanding of Character Composition of Words	Andrew Shin; Kunitake Kaneko	cs.CL
